,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.14,https://api.spotify.com/v1/audio-analysis/4UbWczmUqp2mfzSHSmTpAC,0.765,197494,0.811,4UbWczmUqp2mfzSHSmTpAC,9.45e-06,10,0.0745,-5.646,0,0.0627,101.985,4,https://api.spotify.com/v1/tracks/4UbWczmUqp2mfzSHSmTpAC,audio_features,spotify:track:4UbWczmUqp2mfzSHSmTpAC,0.702
1,0.119,https://api.spotify.com/v1/audio-analysis/4kkQGhScJDzNIIGavQE9SN,0.717,170649,0.918,4kkQGhScJDzNIIGavQE9SN,0.0,0,0.0751,-2.638,1,0.0482,153.983,4,https://api.spotify.com/v1/tracks/4kkQGhScJDzNIIGavQE9SN,audio_features,spotify:track:4kkQGhScJDzNIIGavQE9SN,0.962
2,0.841,https://api.spotify.com/v1/audio-analysis/2srL4DYBekshpbprS6H0mO,0.555,213192,0.439,2srL4DYBekshpbprS6H0mO,0.0,7,0.106,-11.026,1,0.222,186.581,4,https://api.spotify.com/v1/tracks/2srL4DYBekshpbprS6H0mO,audio_features,spotify:track:2srL4DYBekshpbprS6H0mO,0.703
3,0.234,https://api.spotify.com/v1/audio-analysis/2KwojFDebQV4J2b0JMRR5Q,0.761,169270,0.785,2KwojFDebQV4J2b0JMRR5Q,0.237,8,0.0573,-5.502,1,0.0505,104.992,4,https://api.spotify.com/v1/tracks/2KwojFDebQV4J2b0JMRR5Q,audio_features,spotify:track:2KwojFDebQV4J2b0JMRR5Q,0.58
4,0.113,https://api.spotify.com/v1/audio-analysis/1xd3OqTbx17HutN7RfJOTj,0.647,182147,0.713,1xd3OqTbx17HutN7RfJOTj,0.00703,4,0.146,-5.874,1,0.0256,124.982,4,https://api.spotify.com/v1/tracks/1xd3OqTbx17HutN7RfJOTj,audio_features,spotify:track:1xd3OqTbx17HutN7RfJOTj,0.277
5,0.00812,https://api.spotify.com/v1/audio-analysis/3ibRxEv4KkcU9e259eyNJA,0.789,167311,0.767,3ibRxEv4KkcU9e259eyNJA,0.000348,9,0.101,-4.612,0,0.0715,99.957,4,https://api.spotify.com/v1/tracks/3ibRxEv4KkcU9e259eyNJA,audio_features,spotify:track:3ibRxEv4KkcU9e259eyNJA,0.637
6,0.0133,https://api.spotify.com/v1/audio-analysis/6pSYjx66rlqRmGGTHhnjCo,0.532,210960,0.467,6pSYjx66rlqRmGGTHhnjCo,2.91e-06,11,0.226,-6.499,0,0.117,76.792,5,https://api.spotify.com/v1/tracks/6pSYjx66rlqRmGGTHhnjCo,audio_features,spotify:track:6pSYjx66rlqRmGGTHhnjCo,0.247
7,0.255,https://api.spotify.com/v1/audio-analysis/6gquljDBW7rE6mCBzmTRxo,0.598,192947,0.885,6gquljDBW7rE6mCBzmTRxo,0.0,7,0.965,-3.383,1,0.0509,113.919,4,https://api.spotify.com/v1/tracks/6gquljDBW7rE6mCBzmTRxo,audio_features,spotify:track:6gquljDBW7rE6mCBzmTRxo,0.652
8,0.354,https://api.spotify.com/v1/audio-analysis/7yYOMPwpV5CsK0cxoAZT6B,0.674,169351,0.789,7yYOMPwpV5CsK0cxoAZT6B,0.0,7,0.115,-4.63,1,0.287,163.896,4,https://api.spotify.com/v1/tracks/7yYOMPwpV5CsK0cxoAZT6B,audio_features,spotify:track:7yYOMPwpV5CsK0cxoAZT6B,0.852
9,0.0851,https://api.spotify.com/v1/audio-analysis/5ac0YTpOaDX9wEYYyGCglL,0.623,168240,0.892,5ac0YTpOaDX9wEYYyGCglL,3.86e-06,7,0.779,-4.128,1,0.089,127.787,4,https://api.spotify.com/v1/tracks/5ac0YTpOaDX9wEYYyGCglL,audio_features,spotify:track:5ac0YTpOaDX9wEYYyGCglL,0.656
10,0.189,https://api.spotify.com/v1/audio-analysis/0pDaqgIForVNO4jrtTxcWT,0.814,228923,0.653,0pDaqgIForVNO4jrtTxcWT,0.0,3,0.0876,-0.02,0,0.0359,130.099,4,https://api.spotify.com/v1/tracks/0pDaqgIForVNO4jrtTxcWT,audio_features,spotify:track:0pDaqgIForVNO4jrtTxcWT,0.709
11,0.00382,https://api.spotify.com/v1/audio-analysis/4C6IBSWdeKpiEChXGhZaRs,0.592,168917,0.882,4C6IBSWdeKpiEChXGhZaRs,0.0,11,0.298,-5.055,0,0.0358,123.958,4,https://api.spotify.com/v1/tracks/4C6IBSWdeKpiEChXGhZaRs,audio_features,spotify:track:4C6IBSWdeKpiEChXGhZaRs,0.577
12,0.224,https://api.spotify.com/v1/audio-analysis/50lj59ni4oNCaqzYrHmA42,0.847,163721,0.761,50lj59ni4oNCaqzYrHmA42,0.0,7,0.0348,-5.877,0,0.0942,128.977,4,https://api.spotify.com/v1/tracks/50lj59ni4oNCaqzYrHmA42,audio_features,spotify:track:50lj59ni4oNCaqzYrHmA42,0.532
13,0.196,https://api.spotify.com/v1/audio-analysis/2g2ZjM1GjY9Lf2Ff0L94Ul,0.648,186981,0.833,2g2ZjM1GjY9Lf2Ff0L94Ul,0.0,2,0.313,-6.323,1,0.258,135.666,4,https://api.spotify.com/v1/tracks/2g2ZjM1GjY9Lf2Ff0L94Ul,audio_features,spotify:track:2g2ZjM1GjY9Lf2Ff0L94Ul,0.679
14,0.0613,https://api.spotify.com/v1/audio-analysis/6UZJOc2HBrTp9DYfir9N8n,0.673,232486,0.877,6UZJOc2HBrTp9DYfir9N8n,0.0,1,0.331,-3.108,0,0.122,137.937,4,https://api.spotify.com/v1/tracks/6UZJOc2HBrTp9DYfir9N8n,audio_features,spotify:track:6UZJOc2HBrTp9DYfir9N8n,0.819
15,0.0711,https://api.spotify.com/v1/audio-analysis/4BjPsq3MXBNo4Qxg40igEr,0.599,232727,0.512,4BjPsq3MXBNo4Qxg40igEr,0.0,4,0.0816,-2.578,1,0.0641,87.838,5,https://api.spotify.com/v1/tracks/4BjPsq3MXBNo4Qxg40igEr,audio_features,spotify:track:4BjPsq3MXBNo4Qxg40igEr,0.736
16,0.087,https://api.spotify.com/v1/audio-analysis/0r0U9AcE4LP0QzJQDUUlXP,0.338,189227,0.942,0r0U9AcE4LP0QzJQDUUlXP,0.0,11,0.261,-3.579,0,0.182,177.892,4,https://api.spotify.com/v1/tracks/0r0U9AcE4LP0QzJQDUUlXP,audio_features,spotify:track:0r0U9AcE4LP0QzJQDUUlXP,0.398
17,0.153,https://api.spotify.com/v1/audio-analysis/4YV827A7aWVswtyt0eWoWM,0.539,151827,0.882,4YV827A7aWVswtyt0eWoWM,0.0,7,0.805,-4.087,1,0.263,93.165,4,https://api.spotify.com/v1/tracks/4YV827A7aWVswtyt0eWoWM,audio_features,spotify:track:4YV827A7aWVswtyt0eWoWM,0.502
18,0.468,https://api.spotify.com/v1/audio-analysis/6P8v1a8jyfwG5kc7Si1kUp,0.654,173427,0.815,6P8v1a8jyfwG5kc7Si1kUp,0.0,0,0.225,-4.976,1,0.058,135.095,4,https://api.spotify.com/v1/tracks/6P8v1a8jyfwG5kc7Si1kUp,audio_features,spotify:track:6P8v1a8jyfwG5kc7Si1kUp,0.668
19,0.214,https://api.spotify.com/v1/audio-analysis/3SdYnX1212sx5X0N4Lj3Vb,0.923,170709,0.488,3SdYnX1212sx5X0N4Lj3Vb,0.0,0,0.165,-2.817,1,0.179,129.944,4,https://api.spotify.com/v1/tracks/3SdYnX1212sx5X0N4Lj3Vb,audio_features,spotify:track:3SdYnX1212sx5X0N4Lj3Vb,0.565
