,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.00346,https://api.spotify.com/v1/audio-analysis/4vS8VaBwJJV5Ry7UFIQuoo,0.723,176561,0.809,4vS8VaBwJJV5Ry7UFIQuoo,0.00123,7,0.565,-3.081,0,0.0625,98.007,4,https://api.spotify.com/v1/tracks/4vS8VaBwJJV5Ry7UFIQuoo,audio_features,spotify:track:4vS8VaBwJJV5Ry7UFIQuoo,0.271
1,0.142,https://api.spotify.com/v1/audio-analysis/6FXNfYIY6iEeCKuIeSYWgg,0.705,215613,0.758,6FXNfYIY6iEeCKuIeSYWgg,0.0,9,0.109,-5.482,0,0.0506,107.965,4,https://api.spotify.com/v1/tracks/6FXNfYIY6iEeCKuIeSYWgg,audio_features,spotify:track:6FXNfYIY6iEeCKuIeSYWgg,0.586
2,0.184,https://api.spotify.com/v1/audio-analysis/6fQcqEcXfnY0L6VwS0c3gT,0.827,180021,0.576,6fQcqEcXfnY0L6VwS0c3gT,0.029,4,0.0656,-7.774,1,0.0372,118.04,4,https://api.spotify.com/v1/tracks/6fQcqEcXfnY0L6VwS0c3gT,audio_features,spotify:track:6fQcqEcXfnY0L6VwS0c3gT,0.41
3,0.041,https://api.spotify.com/v1/audio-analysis/66hayvUbTotekKU3H4ta1f,0.432,250286,0.781,66hayvUbTotekKU3H4ta1f,4.21e-06,4,0.0789,-4.038,0,0.0567,139.432,4,https://api.spotify.com/v1/tracks/66hayvUbTotekKU3H4ta1f,audio_features,spotify:track:66hayvUbTotekKU3H4ta1f,0.191
4,0.0997,https://api.spotify.com/v1/audio-analysis/70OTIpw8x8UXUsuCHW9i1i,0.723,192107,0.711,70OTIpw8x8UXUsuCHW9i1i,0.0,0,0.0528,-5.576,0,0.0378,138.098,4,https://api.spotify.com/v1/tracks/70OTIpw8x8UXUsuCHW9i1i,audio_features,spotify:track:70OTIpw8x8UXUsuCHW9i1i,0.6
5,0.152,https://api.spotify.com/v1/audio-analysis/0kGXCXZkTMxJU7GXkJdzH0,0.602,220679,0.678,0kGXCXZkTMxJU7GXkJdzH0,0.0,5,0.0729,-6.57,0,0.0565,88.992,4,https://api.spotify.com/v1/tracks/0kGXCXZkTMxJU7GXkJdzH0,audio_features,spotify:track:0kGXCXZkTMxJU7GXkJdzH0,0.224
6,0.0244,https://api.spotify.com/v1/audio-analysis/3twQx3psUMJKj4wna5d1zU,0.746,222093,0.873,3twQx3psUMJKj4wna5d1zU,0.0,7,0.354,-3.803,1,0.128,148.075,4,https://api.spotify.com/v1/tracks/3twQx3psUMJKj4wna5d1zU,audio_features,spotify:track:3twQx3psUMJKj4wna5d1zU,0.808
7,0.0843,https://api.spotify.com/v1/audio-analysis/2HNcNd5RPZ7DSRNbIl6JsP,0.587,242519,0.566,2HNcNd5RPZ7DSRNbIl6JsP,0.0,0,0.145,-7.017,0,0.0528,113.025,4,https://api.spotify.com/v1/tracks/2HNcNd5RPZ7DSRNbIl6JsP,audio_features,spotify:track:2HNcNd5RPZ7DSRNbIl6JsP,0.159
8,0.00256,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,0.618,196693,0.717,5NQbUaeTEOGdD6hHcre0dZ,0.0,7,0.625,-5.738,1,0.318,190.05,4,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,audio_features,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,0.601
9,0.369,https://api.spotify.com/v1/audio-analysis/7wqSzGeodspE3V6RBD5W8L,0.689,229526,0.481,7wqSzGeodspE3V6RBD5W8L,1.03e-06,10,0.0649,-7.503,1,0.0815,80.025,4,https://api.spotify.com/v1/tracks/7wqSzGeodspE3V6RBD5W8L,audio_features,spotify:track:7wqSzGeodspE3V6RBD5W8L,0.266
10,0.0113,https://api.spotify.com/v1/audio-analysis/57kR5SniQIbsbVoIjjOUDa,0.426,247267,0.722,57kR5SniQIbsbVoIjjOUDa,1.27e-06,5,0.262,-5.369,0,0.196,196.133,4,https://api.spotify.com/v1/tracks/57kR5SniQIbsbVoIjjOUDa,audio_features,spotify:track:57kR5SniQIbsbVoIjjOUDa,0.235
11,0.00701,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,0.578,199080,0.866,4kbj5MwxO1bq9wjT5g9HaA,0.0,1,0.257,-3.804,1,0.0619,128.038,4,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,audio_features,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,0.619
12,0.00906,https://api.spotify.com/v1/audio-analysis/7oGZAicScQt96OAW4AruYy,0.775,207719,0.68,7oGZAicScQt96OAW4AruYy,0.0,0,0.109,-5.508,0,0.0629,114.025,4,https://api.spotify.com/v1/tracks/7oGZAicScQt96OAW4AruYy,audio_features,spotify:track:7oGZAicScQt96OAW4AruYy,0.636
13,0.0389,https://api.spotify.com/v1/audio-analysis/22mek4IiqubGD9ctzxc69s,0.738,212640,0.868,22mek4IiqubGD9ctzxc69s,0.00171,11,0.388,-4.373,0,0.0731,122.003,4,https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s,audio_features,spotify:track:22mek4IiqubGD9ctzxc69s,0.334
