,energy,id,tempo,valence,artista,letra,link,nome
0,0.517,1LMkzX5vbHKHaoHAcpqsZc,76.81,0.503,Morrissey,"The sanest days are mad  
Why don't you find out for yourself?  
Then you'll see the price  
Very closely  
  
Some men here  
They have a special interest  
In your career  
They want to help you to grow  
And then siphon all your dough  
Why don't you find out for yourself?  
Then you'll see the glass  
Hidden in the grass  
  
You'll never believe me, so  
Why don't you find out for yourself?  
Sick down to my heart  
That's just the way it goes  
  
Some men here  
They know the full extent of  
Your distress  
They kneel and pray  
And they say:  
""Long may it last""  
  
Why don't you find out for yourself?  
Then you'll see the glass  
Hidden in the grass  
Bad scenes come and go  
For which you must allow  
Sick down to my heart  
That's just the way it goes  
  
Don't rake up my mistakes  
I know exactly what they are  
And what do you do?  
Well you just sit there  
I've been stabbed in the back  
So many many times  
I don't have any skin  
But that's just the way it goes

",/m/morrissey/why+dont+you+find+out+for+yourself_20096119.html,Why Don't You Find Out For Yourself
9,0.959,0xdiLQkal65DtxcIqpIxxb,163.116,0.466,Nirvana,"This is out of our reach  
This is out of our reach  
This is out of our reach and it's grown  
This is getting to be  
This is getting to be  
This is getting to be drone  
I'm a negative creep  
I'm a negative creep  
I'm a negative creep and I'm stoned!  
I'm a negative creep  
I'm a negative creep  
I'm a negative creep and I'm, and I'm  
  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
  
This is out of our range  
This is out of our range  
This is out of our range and it's crude  
This is getting to be  
This is getting to be  
This is getting to be like drone  
I'm a negative creep  
I'm a negative creep  
I'm a negative creep and I'm stoned!  
I'm a negative creep  
I'm a negative creep  
I'm a negative creep and I'm and I'm  
  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
  
Fuck! Yeah!  
Drone!  
Stoned!  
  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more  
Daddy's little girl ain't a girl no more

",/n/nirvana/negative+creep_20100986.html,Negative Creep
18,0.23,4iCUXUlxMfunDxj8U56Lfy,120.712,0.522,Patsy Cline,"If you got leavin' on your mind  
Tell me now, get it over  
Hurt me now, get it over  
If you got leavin' on your mind  
  
If there's a new love in your heart  
Tell me now, get it over  
Hurt me now, get it over  
If there's a new love in your heart  
  
Don't leave me here, in a world  
Filled with dreams that might have been  
Hurt me now, get it over  
I may learn to love again  
  
If there's a new love in your heart  
Tell me now, get it over  
Hurt me now, get it over  
If there's a new love in your heart  
  
Hurt me now, get it over  
If there's a new love in your heart

",/p/patsy+cline/leavin+on+your+mind_20105098.html,Leavin' On Your Mind
27,0.662,3gqNqoq8NY06Qs0A5HxeSq,111.897,0.96,Warren Zevon,"I am wanted dead or alive  
I'm wanted everywhere  
I've got to survive  
They say I am a violent man  
Only trying to do the best I can, dig it  
I am wanted dead or alive  
Fifteen states I've got to survive  
I am wanted dead or alive  
I'm a new kind of man  
I've got to survive  
Running a long way  
I am wanted dead or alive  
I'm wanted everywhere  
I've got to survive  
Now all I'm trying to do  
Is find a peaceful place  
But they say I have an outlaw face  
My Lord, I have an outlaw's face  
I have an outlaw's face  
They say I have an outlaw's face  
My, my, yes, I have an outlaw's face  
I have an outlaw's face, I have an outlaw's face  
Oh my Lord, I have an outlaw's face  
Sweet God Almighty, I have an outlaw's face  

",/w/warren+zevon/wanted+dead+or+alive_10186020.html,Wanted Dead Or Alive
36,0.695,12lZTPlXwUtrQuhEty6098,122.028,0.633,P!nk,"Right right, turn off the lights,  
We gonna lose our minds tonight,  
What's the dealio?  
  
I love when it's all too much,  
Five a.m. turn the radio up  
Where's the rock and roll?  
  
Party crasher,  
Panty snatcher,  
Call me up if you want a gangsta  
Don't be fancy, just get dancy  
Why so serious?  
  
So raise your glass if you are wrong,  
In all the right ways,  
All my underdogs,  
We will never be never be, anything but loud  
And nitty gritty dirty little freaks  
Won't you come on and come on and raise your glass,  
Just come on and come on and raise your glass  
  
Slam slam, oh hot damn  
What part of party don't you understand,  
Wish you'd just freak out (freak out already)  
Can't stop, comin' in hot,  
I should be locked up right on the spot  
It's so on right now (so fuckin' on right now)  
  
Party crasher,  
Panty snatcher,  
Call me up if you want a gangsta  
Don't be fancy, just get dancy  
Why so serious?  
  
So raise your glass if you are wrong,  
In all the right ways,  
All my underdogs,  
We will never be never be, anything but loud  
""Maybe gritty dirty little freaks""  
Won't you come on and come on and raise your glass,  
Just come on and come on and raise your glass  
Won't you come on and come on and raise your glass,  
Just come on and come on and raise your glass  
  
(Oh shit my glass is empty, that sucks)  
So if you're too school for cool,  
And you're treated like a fool,  
(Treated like a fool)  
You can choose to let it go  
We can always, we can always,  
Party on our own  
  
(So raise your, ah fuck)  
So raise your glass if you are wrong,  
In all the right ways,  
All my underdogs,  
We will never be never be, anything but loud  
maybe gritty dirty little freaks  
So raise your glass if you are wrong,  
In all the right ways,  
  
All my underdogs,  
We will never be never be, anything but loud  
Maybe gritty dirty little freaks  
Won't you come on and come on and raise your glass,  
Just come on and come on and raise your glass  
Won't you come on and come on and raise your glass (for me)  
Just come on and come on and raise your glass (for me)

",/p/pnk/raise+your+glass_20981403.html,Raise Your Glass
45,0.932,0Sfg0Pri6NypRrd6DYiWJc,90.013,0.673,ZZ Top,"I been stuck, so I asked her why  
She gave me acupuncture as her alibi  
Shook my soul, and stole my dough  
Left my condition down a deep dark hole  
I'm a pincushion, gotta face the facts  
Just a pincushion, do everything she ask  
I get nailed every now and then  
I get my mojo working but I'm pinned again  
I'm a pincushion, gotta face the facts  
Just a pincushion, do everything she asks  
I'm gettin' pricked around and punctureated  
I let my ya ya down, I got penetrated  
I'm a pincushion, gotta face the facts  
Just a pincushion, do everything she asks  
I'm a pincushion, gotta face the facts  
Just a pincushion, do everything she asks

",/z/zz+top/pincushion_20149046.html,Pincushion
54,0.723,7BOnbe9o9EgFfe9ONMoCs2,139.101,0.791,America,"Frosty the snowman  
Was a jolly happy soul  
With a corn-cob pipe  
And a button nose  
And two eyes made out of coal  
Frosty the snowman  
Is a fairy tale they say  
He was made of snow  
But the children know  
How he came to life one day  
There must have been some magic  
In that old silk hat they found  
For when they placed it on his head  
He began to dance around  
Frosty the snowman  
Was alive as he could be  
And the children say  
He could laugh and play  
Just the same as you and me  
Frosty the snowman  
Knew the sun was hot that day  
So he said, ""Let's run  
And we'll have some fun  
Now before I melt away""  
Down to the village  
With a broomstick in his hand  
Running here and there  
All around the square  
Saying, ""Catch me if you can""  
He led them down the streets of town  
Right to the traffic cop  
He only paused a moment when  
He heard them holler, stop  
Frosty the snowman  
Had to hurry on his way  
But he waved goodbye  
Saying, ""Don't you cry  
I'll be back again some day""  
(Frosty)  
Yes, he waved goodbye  
Saying, ""Don't you cry  
I'll be back again some day""  

",/a/america/frosty+the+snowman_20821825.html,Frosty The Snowman
63,0.207,6TJuL34llW4H7vWSJrDDO7,122.924,0.269,Leo Sayer,"When I find myself in times of trouble  
Mother Mary comes to me  
Speakin' words of wisdo-om  
Let it be  
And in my hour of dar-arkness  
She's standing right in front of me  
Speakin' words of wisdo-om, let it be  
  
Let it be, oh let it be-ee  
Whisper wor-ords of wisdom  
Oh let it be  
  
When the night is cloudy  
There's still a light that shines on me  
Shine until tomorrow-ow  
Let it be  
I wake up to the sound of music  
Mother Mary comes to me  
Speakin' words of wisdo-om  
Just let it be  
  
Let it be-ee, oh let it be-ee  
And there will be an answer  
Just let it be  
  
And when the broken hearted people  
Livin' in the world agree  
There'll now be an answer  
Oh God let it be  
Though they may be parted  
There's a chance that they will see  
There will be an answer-er  
Let it be  
  
Let it be, let it be-ee, oh let it be-ee  
Whisper words of wisdo-om  
Ah let it be  
  
Let it be (let it be, let it be)  
There will be an answer  
Just let it be  
  
(Let it be-ee, let it be-ee-ee-ee)  
There will be an answer-er  
Just le-et it be

",/l/leo+sayer/let+it+be_20246207.html,Let It Be
72,0.534,4HbYML5nvIkTpWpZehqKim,113.601,0.0791,Israel Houghton,"Light of the world  
You stepped down into darkness  
Opened my eyes let me see  
Beauty that made this heart adore You  
Hope of a life spent with You  
Chorus  
Here I am to worship  
Here I am to bow down  
Here I am to say that You're my God  
You're altogether lovely  
Altogether worthy  
Altogether wonderful to me  
Verse 2  
King of all days  
O so highly exalted  
Glorious in Heaven above  
Humbly You came to the earth You created  
All for love's sake became poor  
(Repeat Chorus)  
I'll never know how much it cost  
To see my sin upon the cross  
... Worship You  
Hallelujah, Hallelujah  
I worship You for who You are  
  
I worship You  
Hallelujah, Hallelujah  
I worship You for who You are

",/i/israel+houghton/here+i+am+to+worship_20601051.html,Here I Am To Worship
81,0.949,35BiIRFwoguE9qXaG4g2KJ,127.731,0.548,Iron Maiden,"Covered in sinners and dripping  
With gilt  
Making you money from slime  
And from filth  
Parading your bellies in ivory towers  
Investing our lives in your schemes  
And your powers  
  
You got to watch them  
Be quick  
Or be dead  
Snake eyes in heaven  
The thief  
In your head  
You've got to watch them  
Be quick  
Or be dead  
Snake eyes in heaven  
The thief  
In your head  
Be quick!  
Or be dead!  
Be quick!  
Or be dead  
  
See, what's ruling all our lives  
See, who's pulling the strings,  
I bet you won't fall on your face,  
Your belly will hold you in place  
  
The serpent is crawling inside of  
Your ear  
He says you must vote for what you  
Want to hear  
Don't matter what's wrong as long as you're  
Alright  
So pull yourself stupid and rob  
Yourself blind

",/i/iron+maiden/be+quick+or+be+dead_20067956.html,Be Quick Or Be Dead
