,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.0347,https://api.spotify.com/v1/audio-analysis/2SmgFAhQkQCQPyBiBxR6Te,0.816,232550,0.806,2SmgFAhQkQCQPyBiBxR6Te,9.01e-05,2,0.255,-3.023,0,0.0563,79.987,4,https://api.spotify.com/v1/tracks/2SmgFAhQkQCQPyBiBxR6Te,audio_features,spotify:track:2SmgFAhQkQCQPyBiBxR6Te,0.821
1,0.141,https://api.spotify.com/v1/audio-analysis/7JNh1cfm0eXjqFVOzKLyau,0.743,202453,0.855,7JNh1cfm0eXjqFVOzKLyau,0.0045,5,0.099,-3.976,0,0.0436,96.989,4,https://api.spotify.com/v1/tracks/7JNh1cfm0eXjqFVOzKLyau,audio_features,spotify:track:7JNh1cfm0eXjqFVOzKLyau,0.863
2,0.222,https://api.spotify.com/v1/audio-analysis/1m69ELEgE6k5ZWsap40ozt,0.739,188080,0.821,1m69ELEgE6k5ZWsap40ozt,9.6e-06,1,0.311,-4.233,1,0.0852,171.077,4,https://api.spotify.com/v1/tracks/1m69ELEgE6k5ZWsap40ozt,audio_features,spotify:track:1m69ELEgE6k5ZWsap40ozt,0.687
3,0.187,https://api.spotify.com/v1/audio-analysis/70lnL3QaSOIIyMa2X9aVRL,0.75,195213,0.76,70lnL3QaSOIIyMa2X9aVRL,0.0,1,0.0548,-4.836,1,0.198,183.817,4,https://api.spotify.com/v1/tracks/70lnL3QaSOIIyMa2X9aVRL,audio_features,spotify:track:70lnL3QaSOIIyMa2X9aVRL,0.896
4,0.186,https://api.spotify.com/v1/audio-analysis/5TysCiZtv1HnSWcTcUFusI,0.688,195813,0.859,5TysCiZtv1HnSWcTcUFusI,0.0,0,0.121,-4.447,1,0.0609,92.042,4,https://api.spotify.com/v1/tracks/5TysCiZtv1HnSWcTcUFusI,audio_features,spotify:track:5TysCiZtv1HnSWcTcUFusI,0.707
5,0.0231,https://api.spotify.com/v1/audio-analysis/6De0lHrwBfPfrhorm9q1Xl,0.744,205715,0.804,6De0lHrwBfPfrhorm9q1Xl,0.0,1,0.0494,-6.327,1,0.0677,104.823,4,https://api.spotify.com/v1/tracks/6De0lHrwBfPfrhorm9q1Xl,audio_features,spotify:track:6De0lHrwBfPfrhorm9q1Xl,0.456
6,0.248,https://api.spotify.com/v1/audio-analysis/3VClLWqNn80Llv0PJOsKgr,0.791,217080,0.866,3VClLWqNn80Llv0PJOsKgr,5.29e-06,6,0.0696,-4.236,1,0.0497,96.011,4,https://api.spotify.com/v1/tracks/3VClLWqNn80Llv0PJOsKgr,audio_features,spotify:track:3VClLWqNn80Llv0PJOsKgr,0.723
7,0.186,https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb,0.768,216897,0.517,0ofbQMrRDsUaVKq2mGLEAb,3.8e-05,7,0.104,-4.323,0,0.0312,104.992,4,https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb,audio_features,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,0.408
8,0.13,https://api.spotify.com/v1/audio-analysis/7ofxPmTNMj2GP07g1VZa0O,0.771,238160,0.835,7ofxPmTNMj2GP07g1VZa0O,0.0,0,0.0601,-3.388,1,0.0507,91.012,4,https://api.spotify.com/v1/tracks/7ofxPmTNMj2GP07g1VZa0O,audio_features,spotify:track:7ofxPmTNMj2GP07g1VZa0O,0.813
9,0.232,https://api.spotify.com/v1/audio-analysis/2yajAy8Va9VTk3yhF9B3ET,0.731,198053,0.687,2yajAy8Va9VTk3yhF9B3ET,2.33e-05,1,0.265,-7.399,0,0.0586,99.995,4,https://api.spotify.com/v1/tracks/2yajAy8Va9VTk3yhF9B3ET,audio_features,spotify:track:2yajAy8Va9VTk3yhF9B3ET,0.577
