,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.163,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.599,263400,0.448,0tgVpDi06FyKpA1z0VMD4v,0.0,8,0.106,-6.312,1,0.0232,95.05,3,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.168
1,0.199,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,0.798,202547,0.539,5Z3GHaZ6ec9bsiI5BenrbY,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,4,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,audio_features,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,0.41
2,0.658,https://api.spotify.com/v1/audio-analysis/0mel2N9Ws9r4yLQn5QE21Y,0.653,201000,0.378,0mel2N9Ws9r4yLQn5QE21Y,0.0,5,0.177,-8.273,1,0.0533,91.835,4,https://api.spotify.com/v1/tracks/0mel2N9Ws9r4yLQn5QE21Y,audio_features,spotify:track:0mel2N9Ws9r4yLQn5QE21Y,0.54
3,0.0793,https://api.spotify.com/v1/audio-analysis/6YVpU5vVxezJCYeQUxIkRT,0.795,199849,0.611,6YVpU5vVxezJCYeQUxIkRT,3.04e-06,5,0.0853,-5.224,0,0.0711,110.016,4,https://api.spotify.com/v1/tracks/6YVpU5vVxezJCYeQUxIkRT,audio_features,spotify:track:6YVpU5vVxezJCYeQUxIkRT,0.404
4,0.359,https://api.spotify.com/v1/audio-analysis/4aUf4lzQ1di5JajZ4a9FuI,0.286,269584,0.391,4aUf4lzQ1di5JajZ4a9FuI,0.0,2,0.18,-5.8,1,0.03,174.858,4,https://api.spotify.com/v1/tracks/4aUf4lzQ1di5JajZ4a9FuI,audio_features,spotify:track:4aUf4lzQ1di5JajZ4a9FuI,0.218
5,0.105,https://api.spotify.com/v1/audio-analysis/74ODGXs4byLTRdnKGM4s6E,0.754,203650,0.458,74ODGXs4byLTRdnKGM4s6E,0.0,8,0.249,-6.852,1,0.144,96.011,4,https://api.spotify.com/v1/tracks/74ODGXs4byLTRdnKGM4s6E,audio_features,spotify:track:74ODGXs4byLTRdnKGM4s6E,0.484
6,0.128,https://api.spotify.com/v1/audio-analysis/47OVNnZJzIkrsEiZ4n187p,0.747,184134,0.799,47OVNnZJzIkrsEiZ4n187p,0.0,11,0.0541,-4.066,0,0.0405,104.02,4,https://api.spotify.com/v1/tracks/47OVNnZJzIkrsEiZ4n187p,audio_features,spotify:track:47OVNnZJzIkrsEiZ4n187p,0.537
7,0.186,https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb,0.768,216897,0.517,0ofbQMrRDsUaVKq2mGLEAb,3.8e-05,7,0.104,-4.323,0,0.0312,104.992,4,https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb,audio_features,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,0.408
8,0.852,https://api.spotify.com/v1/audio-analysis/6M21eWbEw74XDdoQsNIinq,0.374,254250,0.125,6M21eWbEw74XDdoQsNIinq,4.66e-06,7,0.321,-14.847,1,0.0383,114.694,5,https://api.spotify.com/v1/tracks/6M21eWbEw74XDdoQsNIinq,audio_features,spotify:track:6M21eWbEw74XDdoQsNIinq,0.105
9,0.535,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9,0.752,197437,0.505,1wjzFQodRWrPcQ0AnYnvQ9,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9,audio_features,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,0.407
10,0.00274,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,0.756,209333,0.682,2ekn2ttSfGqwhhate0LSR0,8.85e-06,9,0.147,-6.577,0,0.0753,116.008,4,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,audio_features,spotify:track:2ekn2ttSfGqwhhate0LSR0,0.589
11,0.189,https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi,0.849,198237,0.581,32DGGj6KlNuBr6WaqRxpxi,3.61e-06,1,0.0805,-5.243,0,0.0767,110.008,4,https://api.spotify.com/v1/tracks/32DGGj6KlNuBr6WaqRxpxi,audio_features,spotify:track:32DGGj6KlNuBr6WaqRxpxi,0.779
12,0.246,https://api.spotify.com/v1/audio-analysis/6EpRaXYhGOB3fj4V2uDkMJ,0.869,204502,0.485,6EpRaXYhGOB3fj4V2uDkMJ,0.0,6,0.0765,-5.595,1,0.0545,106.028,4,https://api.spotify.com/v1/tracks/6EpRaXYhGOB3fj4V2uDkMJ,audio_features,spotify:track:6EpRaXYhGOB3fj4V2uDkMJ,0.542
13,0.15,https://api.spotify.com/v1/audio-analysis/39IsH7B5byx8NRlEKlZVg9,0.703,193613,0.868,39IsH7B5byx8NRlEKlZVg9,0.132,7,0.104,-4.661,0,0.0291,121.03,4,https://api.spotify.com/v1/tracks/39IsH7B5byx8NRlEKlZVg9,audio_features,spotify:track:39IsH7B5byx8NRlEKlZVg9,0.732
14,0.404,https://api.spotify.com/v1/audio-analysis/1WtpRQUvbyZAoEchymInA9,0.436,270823,0.335,1WtpRQUvbyZAoEchymInA9,1.72e-06,11,0.078,-7.653,0,0.0296,139.942,4,https://api.spotify.com/v1/tracks/1WtpRQUvbyZAoEchymInA9,audio_features,spotify:track:1WtpRQUvbyZAoEchymInA9,0.215
15,0.227,https://api.spotify.com/v1/audio-analysis/4ai7c2BUjNpElhZdZDH7qF,0.764,211200,0.894,4ai7c2BUjNpElhZdZDH7qF,0.0,0,0.0906,-2.892,1,0.0327,99.986,4,https://api.spotify.com/v1/tracks/4ai7c2BUjNpElhZdZDH7qF,audio_features,spotify:track:4ai7c2BUjNpElhZdZDH7qF,0.963
16,0.0533,https://api.spotify.com/v1/audio-analysis/72Q0FQQo32KJloivv5xge2,0.599,288877,0.667,72Q0FQQo32KJloivv5xge2,0.0,7,0.134,-4.267,1,0.0367,80.984,4,https://api.spotify.com/v1/tracks/72Q0FQQo32KJloivv5xge2,audio_features,spotify:track:72Q0FQQo32KJloivv5xge2,0.811
17,0.207,https://api.spotify.com/v1/audio-analysis/7F9vK8hNFMml4GtHsaXui6,0.683,190428,0.53,7F9vK8hNFMml4GtHsaXui6,0.0,5,0.394,-4.918,0,0.142,75.016,4,https://api.spotify.com/v1/tracks/7F9vK8hNFMml4GtHsaXui6,audio_features,spotify:track:7F9vK8hNFMml4GtHsaXui6,0.632
18,0.00683,https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW,0.6,187147,0.81,0tKcYR2II1VCQWT79i5NrW,0.21,0,0.155,-4.749,1,0.0479,167.88,4,https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW,audio_features,spotify:track:0tKcYR2II1VCQWT79i5NrW,0.252
19,0.774,https://api.spotify.com/v1/audio-analysis/46ixegtxjERQMCutmp09Sa,0.37,280110,0.434,46ixegtxjERQMCutmp09Sa,1.58e-06,6,0.0993,-5.935,1,0.0311,139.839,4,https://api.spotify.com/v1/tracks/46ixegtxjERQMCutmp09Sa,audio_features,spotify:track:46ixegtxjERQMCutmp09Sa,0.191
20,0.257,https://api.spotify.com/v1/audio-analysis/2ZiNCGDMapQzMtnPRVOKZI,0.505,329397,0.393,2ZiNCGDMapQzMtnPRVOKZI,5.1e-05,7,0.101,-10.426,1,0.027,145.818,4,https://api.spotify.com/v1/tracks/2ZiNCGDMapQzMtnPRVOKZI,audio_features,spotify:track:2ZiNCGDMapQzMtnPRVOKZI,0.263
21,0.124,https://api.spotify.com/v1/audio-analysis/6jA8HL9i4QGzsj6fjoxp8Y,0.611,221904,0.644,6jA8HL9i4QGzsj6fjoxp8Y,0.0,6,0.124,-7.607,0,0.0553,105.969,4,https://api.spotify.com/v1/tracks/6jA8HL9i4QGzsj6fjoxp8Y,audio_features,spotify:track:6jA8HL9i4QGzsj6fjoxp8Y,0.137
22,0.032,https://api.spotify.com/v1/audio-analysis/5Gu0PDLN4YJeW75PpBSg9p,0.667,174800,0.726,5Gu0PDLN4YJeW75PpBSg9p,0.0,8,0.0745,-4.172,1,0.054,103.001,4,https://api.spotify.com/v1/tracks/5Gu0PDLN4YJeW75PpBSg9p,audio_features,spotify:track:5Gu0PDLN4YJeW75PpBSg9p,0.77
23,0.0969,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,0.774,211475,0.626,4iLqG9SeJSnt0cSPICSjxv,3.12e-05,3,0.0848,-4.432,0,0.0432,100.041,4,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,audio_features,spotify:track:4iLqG9SeJSnt0cSPICSjxv,0.758
24,0.0133,https://api.spotify.com/v1/audio-analysis/27vTihlWXiz9f9lJM3XGVU,0.726,188174,0.429,27vTihlWXiz9f9lJM3XGVU,0.0,0,0.0574,-6.623,1,0.0519,85.899,4,https://api.spotify.com/v1/tracks/27vTihlWXiz9f9lJM3XGVU,audio_features,spotify:track:27vTihlWXiz9f9lJM3XGVU,0.874
25,0.295,https://api.spotify.com/v1/audio-analysis/0x0Vr0OJencSFpHPSFYJb9,0.342,227848,0.368,0x0Vr0OJencSFpHPSFYJb9,0.0,9,0.114,-11.413,1,0.0358,157.358,4,https://api.spotify.com/v1/tracks/0x0Vr0OJencSFpHPSFYJb9,audio_features,spotify:track:0x0Vr0OJencSFpHPSFYJb9,0.195
26,0.612,https://api.spotify.com/v1/audio-analysis/0zFYa7NIpKhmom8zrZx7Ga,0.563,248760,0.314,0zFYa7NIpKhmom8zrZx7Ga,1.14e-05,3,0.124,-9.241,1,0.0312,127.791,4,https://api.spotify.com/v1/tracks/0zFYa7NIpKhmom8zrZx7Ga,audio_features,spotify:track:0zFYa7NIpKhmom8zrZx7Ga,0.249
27,0.00282,https://api.spotify.com/v1/audio-analysis/6Pw3Gvw4wNMZfTYZa6IQal,0.466,187787,0.659,6Pw3Gvw4wNMZfTYZa6IQal,0.0,2,0.273,-6.077,1,0.115,186.169,4,https://api.spotify.com/v1/tracks/6Pw3Gvw4wNMZfTYZa6IQal,audio_features,spotify:track:6Pw3Gvw4wNMZfTYZa6IQal,0.341
28,0.371,https://api.spotify.com/v1/audio-analysis/2NkbRmygVirMQFCjSkyY7Q,0.443,223044,0.55,2NkbRmygVirMQFCjSkyY7Q,0.0,0,0.125,-6.417,1,0.041,77.52,4,https://api.spotify.com/v1/tracks/2NkbRmygVirMQFCjSkyY7Q,audio_features,spotify:track:2NkbRmygVirMQFCjSkyY7Q,0.188
29,0.0264,https://api.spotify.com/v1/audio-analysis/743mWMRgafToEUJriLLgkg,0.695,203760,0.632,743mWMRgafToEUJriLLgkg,0.0,11,0.252,-6.922,0,0.261,143.794,4,https://api.spotify.com/v1/tracks/743mWMRgafToEUJriLLgkg,audio_features,spotify:track:743mWMRgafToEUJriLLgkg,0.87
30,0.0473,https://api.spotify.com/v1/audio-analysis/7y4JznkAv2W3IKw9T1o2VK,0.717,230880,0.743,7y4JznkAv2W3IKw9T1o2VK,8.81e-06,0,0.368,-4.337,1,0.0322,106.919,4,https://api.spotify.com/v1/tracks/7y4JznkAv2W3IKw9T1o2VK,audio_features,spotify:track:7y4JznkAv2W3IKw9T1o2VK,0.321
31,0.225,https://api.spotify.com/v1/audio-analysis/66yKv1kZIqfejvrLEGqTML,0.322,191433,0.732,66yKv1kZIqfejvrLEGqTML,0.0,8,0.11,-4.903,1,0.0442,92.132,4,https://api.spotify.com/v1/tracks/66yKv1kZIqfejvrLEGqTML,audio_features,spotify:track:66yKv1kZIqfejvrLEGqTML,0.58
32,0.512,https://api.spotify.com/v1/audio-analysis/1YMBg7rOjxzbya0fPOYfNX,0.78,198286,0.764,1YMBg7rOjxzbya0fPOYfNX,1.14e-06,8,0.152,-4.098,1,0.0391,104.988,4,https://api.spotify.com/v1/tracks/1YMBg7rOjxzbya0fPOYfNX,audio_features,spotify:track:1YMBg7rOjxzbya0fPOYfNX,0.545
33,0.158,https://api.spotify.com/v1/audio-analysis/5Mszd2USbXSLWGyN3NCwi2,0.855,180757,0.624,5Mszd2USbXSLWGyN3NCwi2,0.0,1,0.0513,-4.093,1,0.0488,117.959,4,https://api.spotify.com/v1/tracks/5Mszd2USbXSLWGyN3NCwi2,audio_features,spotify:track:5Mszd2USbXSLWGyN3NCwi2,0.962
34,0.176,https://api.spotify.com/v1/audio-analysis/75NhhYjHO43mvZgYtnXgti,0.65,181812,0.683,75NhhYjHO43mvZgYtnXgti,2.82e-05,5,0.0832,-5.284,1,0.0704,102.968,4,https://api.spotify.com/v1/tracks/75NhhYjHO43mvZgYtnXgti,audio_features,spotify:track:75NhhYjHO43mvZgYtnXgti,0.228
35,0.075,https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF,0.696,216409,0.817,6kex4EBAj0WHXDKZMEJaaF,0.0,1,0.187,-3.862,1,0.109,98.064,4,https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF,audio_features,spotify:track:6kex4EBAj0WHXDKZMEJaaF,0.779
36,0.101,https://api.spotify.com/v1/audio-analysis/1j4kHkkpqZRBwE0A4CN4Yv,0.258,239000,0.437,1j4kHkkpqZRBwE0A4CN4Yv,1.27e-06,11,0.106,-6.593,0,0.039,180.043,4,https://api.spotify.com/v1/tracks/1j4kHkkpqZRBwE0A4CN4Yv,audio_features,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,0.0967
37,0.259,https://api.spotify.com/v1/audio-analysis/1x5sYLZiu9r5E43kMlt9f8,0.707,212459,0.629,1x5sYLZiu9r5E43kMlt9f8,1.6e-05,0,0.138,-4.581,0,0.0563,122.863,4,https://api.spotify.com/v1/tracks/1x5sYLZiu9r5E43kMlt9f8,audio_features,spotify:track:1x5sYLZiu9r5E43kMlt9f8,0.444
38,0.38,https://api.spotify.com/v1/audio-analysis/1JhRlvSiWkOk8tlUj43ahm,0.461,239143,0.319,1JhRlvSiWkOk8tlUj43ahm,0.0,9,0.257,-9.085,1,0.0259,157.927,4,https://api.spotify.com/v1/tracks/1JhRlvSiWkOk8tlUj43ahm,audio_features,spotify:track:1JhRlvSiWkOk8tlUj43ahm,0.438
39,0.808,https://api.spotify.com/v1/audio-analysis/6xQs6y6CpDqK9VKCktApEL,0.58,235010,0.244,6xQs6y6CpDqK9VKCktApEL,0.0,4,0.092,-9.917,1,0.0361,82.121,4,https://api.spotify.com/v1/tracks/6xQs6y6CpDqK9VKCktApEL,audio_features,spotify:track:6xQs6y6CpDqK9VKCktApEL,0.367
40,0.548,https://api.spotify.com/v1/audio-analysis/4ftPj2fBTJ5pytddHwCPH0,0.828,198001,0.56,4ftPj2fBTJ5pytddHwCPH0,3.66e-05,0,0.15,-6.685,1,0.0327,122.054,4,https://api.spotify.com/v1/tracks/4ftPj2fBTJ5pytddHwCPH0,audio_features,spotify:track:4ftPj2fBTJ5pytddHwCPH0,0.864
41,0.139,https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC,0.715,197993,0.802,7EmGUiUaOSGDnUUQUDrOXC,0.0,11,0.177,-4.647,0,0.0394,124.989,4,https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC,audio_features,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,0.327
42,0.0575,https://api.spotify.com/v1/audio-analysis/1louJpMmzEicAn7lzDalPW,0.741,223504,0.667,1louJpMmzEicAn7lzDalPW,0.0,10,0.106,-5.445,1,0.134,112.956,4,https://api.spotify.com/v1/tracks/1louJpMmzEicAn7lzDalPW,audio_features,spotify:track:1louJpMmzEicAn7lzDalPW,0.595
43,0.152,https://api.spotify.com/v1/audio-analysis/0Zbbxnx4SGGHoIow4PpISP,0.677,236853,0.497,0Zbbxnx4SGGHoIow4PpISP,0.0,5,0.0911,-5.763,1,0.0809,99.137,4,https://api.spotify.com/v1/tracks/0Zbbxnx4SGGHoIow4PpISP,audio_features,spotify:track:0Zbbxnx4SGGHoIow4PpISP,0.419
44,0.0498,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,0.617,247160,0.635,6RUKPb4LETWmmr3iAEQktW,1.44e-05,11,0.164,-6.769,0,0.0317,103.019,4,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,audio_features,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.436
45,0.33,https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr,0.659,212120,0.716,6mrKP2jyIQmM0rw6fQryjr,0.0,5,0.173,-5.673,0,0.111,148.015,4,https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr,audio_features,spotify:track:6mrKP2jyIQmM0rw6fQryjr,0.437
46,0.357,https://api.spotify.com/v1/audio-analysis/7JJmb5XwzOO8jgpou264Ml,0.858,199440,0.799,7JJmb5XwzOO8jgpou264Ml,0.0,2,0.091,-4.034,1,0.0589,121.991,4,https://api.spotify.com/v1/tracks/7JJmb5XwzOO8jgpou264Ml,audio_features,spotify:track:7JJmb5XwzOO8jgpou264Ml,0.965
47,0.425,https://api.spotify.com/v1/audio-analysis/1ER60P43ftVOLaMRvBfpnt,0.657,167087,0.492,1ER60P43ftVOLaMRvBfpnt,0.0,1,0.0989,-9.828,1,0.0267,134.19,4,https://api.spotify.com/v1/tracks/1ER60P43ftVOLaMRvBfpnt,audio_features,spotify:track:1ER60P43ftVOLaMRvBfpnt,0.169
48,0.802,https://api.spotify.com/v1/audio-analysis/0AZjL7QqObm13VxPA078uz,0.502,249466,0.317,0AZjL7QqObm13VxPA078uz,0.0,2,0.117,-11.82,1,0.0368,79.829,4,https://api.spotify.com/v1/tracks/0AZjL7QqObm13VxPA078uz,audio_features,spotify:track:0AZjL7QqObm13VxPA078uz,0.499
