,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.0291,https://api.spotify.com/v1/audio-analysis/1brwdYwjltrJo7WHpIvbYt,0.589,212627,0.651,1brwdYwjltrJo7WHpIvbYt,3.2e-06,6,0.111,-5.097,1,0.0306,90.011,4,https://api.spotify.com/v1/tracks/1brwdYwjltrJo7WHpIvbYt,audio_features,spotify:track:1brwdYwjltrJo7WHpIvbYt,0.161
1,0.037,https://api.spotify.com/v1/audio-analysis/7vfWgVGiLgnGbInU5lvSQg,0.673,199227,0.79,7vfWgVGiLgnGbInU5lvSQg,9.95e-06,7,0.0875,-4.663,0,0.0893,102.013,4,https://api.spotify.com/v1/tracks/7vfWgVGiLgnGbInU5lvSQg,audio_features,spotify:track:7vfWgVGiLgnGbInU5lvSQg,0.703
2,0.0472,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,0.628,211667,0.698,27SdWb2rFzO6GWiYDBTD9j,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,audio_features,spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.73
3,0.00784,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,0.791,173987,0.619,1xznGGDReH1oQq0xzbwXa3,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,audio_features,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.376
4,0.287,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,0.765,237300,0.473,5kqIPrATaCc2LqxVWzQGbk,0.0,10,0.391,-5.829,1,0.0514,119.992,4,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,audio_features,spotify:track:5kqIPrATaCc2LqxVWzQGbk,0.343
5,0.128,https://api.spotify.com/v1/audio-analysis/0urDLEnHddaaQ6pJavi6bR,0.686,210133,0.707,0urDLEnHddaaQ6pJavi6bR,0.0,2,0.154,-5.887,1,0.0321,127.993,4,https://api.spotify.com/v1/tracks/0urDLEnHddaaQ6pJavi6bR,audio_features,spotify:track:0urDLEnHddaaQ6pJavi6bR,0.911
6,0.157,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,0.532,208373,0.869,1i1fxkWeaMmKEB4T7zqbzK,0.00508,11,0.136,-5.094,1,0.172,159.803,4,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,audio_features,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,0.419
7,0.0369,https://api.spotify.com/v1/audio-analysis/6lDo13SSgTv0WbyUQKgnjk,0.736,166138,0.879,6lDo13SSgTv0WbyUQKgnjk,0.000736,9,0.233,-3.782,0,0.0696,107.976,4,https://api.spotify.com/v1/tracks/6lDo13SSgTv0WbyUQKgnjk,audio_features,spotify:track:6lDo13SSgTv0WbyUQKgnjk,0.765
8,0.453,https://api.spotify.com/v1/audio-analysis/6OZh916QF8XNunWaP97WEZ,0.459,212424,0.587,6OZh916QF8XNunWaP97WEZ,0.0,9,0.307,-6.983,1,0.0785,113.901,4,https://api.spotify.com/v1/tracks/6OZh916QF8XNunWaP97WEZ,audio_features,spotify:track:6OZh916QF8XNunWaP97WEZ,0.564
9,0.0482,https://api.spotify.com/v1/audio-analysis/3RokoLDR9CAiaXZX9dtJe0,0.698,227599,0.72,3RokoLDR9CAiaXZX9dtJe0,0.0,9,0.0848,-5.95,1,0.0494,96.05,4,https://api.spotify.com/v1/tracks/3RokoLDR9CAiaXZX9dtJe0,audio_features,spotify:track:3RokoLDR9CAiaXZX9dtJe0,0.735
10,0.0786,https://api.spotify.com/v1/audio-analysis/6YZdkObH88npeKrrkb8Ggf,0.724,200813,0.904,6YZdkObH88npeKrrkb8Ggf,0.0,8,0.226,-3.354,0,0.0966,90.999,4,https://api.spotify.com/v1/tracks/6YZdkObH88npeKrrkb8Ggf,audio_features,spotify:track:6YZdkObH88npeKrrkb8Ggf,0.851
11,0.835,https://api.spotify.com/v1/audio-analysis/3hB5DgAiMAQ4DzYbsMq1IT,0.609,233720,0.378,3hB5DgAiMAQ4DzYbsMq1IT,0.0,4,0.28,-9.828,1,0.438,100.418,4,https://api.spotify.com/v1/tracks/3hB5DgAiMAQ4DzYbsMq1IT,audio_features,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,0.529
12,0.255,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy,0.49,258827,0.743,3RiPr603aXAoi4GHyXx0uy,7.21e-06,0,0.3,-5.155,0,0.0409,89.974,4,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,audio_features,spotify:track:3RiPr603aXAoi4GHyXx0uy,0.376
13,0.0462,https://api.spotify.com/v1/audio-analysis/0lAB2lC6h4YhBIdkYYbpQH,0.734,202333,0.637,0lAB2lC6h4YhBIdkYYbpQH,2.29e-05,4,0.0602,-5.677,0,0.141,169.977,4,https://api.spotify.com/v1/tracks/0lAB2lC6h4YhBIdkYYbpQH,audio_features,spotify:track:0lAB2lC6h4YhBIdkYYbpQH,0.638
14,0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,0.63,222160,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9,0.148,-2.787,0,0.0331,123.963,4,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,0.46
15,0.0797,https://api.spotify.com/v1/audio-analysis/69bp2EbF7Q2rqc5N3ylezZ,0.654,200787,0.76,69bp2EbF7Q2rqc5N3ylezZ,0.0,0,0.299,-3.669,0,0.045,99.945,4,https://api.spotify.com/v1/tracks/69bp2EbF7Q2rqc5N3ylezZ,audio_features,spotify:track:69bp2EbF7Q2rqc5N3ylezZ,0.393
16,0.0152,https://api.spotify.com/v1/audio-analysis/1WP1r7fuvRqZRnUaTi2I1Q,0.746,206880,0.754,1WP1r7fuvRqZRnUaTi2I1Q,0.0,1,0.0486,-6.681,1,0.067,149.882,4,https://api.spotify.com/v1/tracks/1WP1r7fuvRqZRnUaTi2I1Q,audio_features,spotify:track:1WP1r7fuvRqZRnUaTi2I1Q,0.762
17,0.163,https://api.spotify.com/v1/audio-analysis/7L5jgZtAyfiU7elB8DIqCx,0.774,218440,0.748,7L5jgZtAyfiU7elB8DIqCx,0.0,4,0.0516,-5.478,0,0.0509,119.009,4,https://api.spotify.com/v1/tracks/7L5jgZtAyfiU7elB8DIqCx,audio_features,spotify:track:7L5jgZtAyfiU7elB8DIqCx,0.914
18,0.0752,https://api.spotify.com/v1/audio-analysis/14WWzenpaEgQZlqPq2nk4v,0.725,219320,0.534,14WWzenpaEgQZlqPq2nk4v,0.0,11,0.0919,-6.238,1,0.0946,91.974,4,https://api.spotify.com/v1/tracks/14WWzenpaEgQZlqPq2nk4v,audio_features,spotify:track:14WWzenpaEgQZlqPq2nk4v,0.543
19,0.235,https://api.spotify.com/v1/audio-analysis/7a6GeFdPlbQtd7BwVlZ52k,0.784,170186,0.809,7a6GeFdPlbQtd7BwVlZ52k,0.00122,5,0.0772,-6.458,0,0.0824,102.048,4,https://api.spotify.com/v1/tracks/7a6GeFdPlbQtd7BwVlZ52k,audio_features,spotify:track:7a6GeFdPlbQtd7BwVlZ52k,0.845
20,0.133,https://api.spotify.com/v1/audio-analysis/0r4SsYcwvd8URat6AS2m6f,0.694,201122,0.712,0r4SsYcwvd8URat6AS2m6f,0.0,7,0.211,-3.923,0,0.046,98.022,4,https://api.spotify.com/v1/tracks/0r4SsYcwvd8URat6AS2m6f,audio_features,spotify:track:0r4SsYcwvd8URat6AS2m6f,0.794
21,0.235,https://api.spotify.com/v1/audio-analysis/3a9TMd2Yrza6HXqqlfMtfy,0.779,237093,0.852,3a9TMd2Yrza6HXqqlfMtfy,0.0,2,0.212,-3.353,1,0.0651,119.892,4,https://api.spotify.com/v1/tracks/3a9TMd2Yrza6HXqqlfMtfy,audio_features,spotify:track:3a9TMd2Yrza6HXqqlfMtfy,0.607
22,0.0123,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,0.667,236002,0.83,6JV2JOEocMgcZxYSZelKcc,0.0,0,0.191,-5.715,1,0.0749,113.03,4,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,audio_features,spotify:track:6JV2JOEocMgcZxYSZelKcc,0.716
