,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.129,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,0.72,197993,0.807,0tBbt8CrmxbjRP0pueQkyU,0.0,11,0.183,-4.59,0,0.0432,124.946,4,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,audio_features,spotify:track:0tBbt8CrmxbjRP0pueQkyU,0.305
1,0.00459,https://api.spotify.com/v1/audio-analysis/7nZmah2llfvLDiUjm0kiyz,0.744,189467,0.739,7nZmah2llfvLDiUjm0kiyz,0.0,8,0.306,-5.35,1,0.0387,104.99,4,https://api.spotify.com/v1/tracks/7nZmah2llfvLDiUjm0kiyz,audio_features,spotify:track:7nZmah2llfvLDiUjm0kiyz,0.629
2,0.207,https://api.spotify.com/v1/audio-analysis/7pcTLUekZJQnzDOUDuExVJ,0.635,289335,0.667,7pcTLUekZJQnzDOUDuExVJ,0.0,6,0.108,-5.392,1,0.0253,96.003,4,https://api.spotify.com/v1/tracks/7pcTLUekZJQnzDOUDuExVJ,audio_features,spotify:track:7pcTLUekZJQnzDOUDuExVJ,0.257
3,0.146,https://api.spotify.com/v1/audio-analysis/2OALaHcDdKkjYEpAr0Qzab,0.647,181812,0.669,2OALaHcDdKkjYEpAr0Qzab,2.14e-05,5,0.0805,-5.292,1,0.0594,103.099,4,https://api.spotify.com/v1/tracks/2OALaHcDdKkjYEpAr0Qzab,audio_features,spotify:track:2OALaHcDdKkjYEpAr0Qzab,0.247
4,0.322,https://api.spotify.com/v1/audio-analysis/1OG4nxGMy72EklX2DwcN3Z,0.597,188346,0.68,1OG4nxGMy72EklX2DwcN3Z,0.000143,1,0.111,-7.104,1,0.0769,119.946,4,https://api.spotify.com/v1/tracks/1OG4nxGMy72EklX2DwcN3Z,audio_features,spotify:track:1OG4nxGMy72EklX2DwcN3Z,0.195
5,0.0767,https://api.spotify.com/v1/audio-analysis/04JL2liXXV9B9coeGuUsPw,0.796,199849,0.606,04JL2liXXV9B9coeGuUsPw,2.99e-06,5,0.0863,-5.254,0,0.0657,110.007,4,https://api.spotify.com/v1/tracks/04JL2liXXV9B9coeGuUsPw,audio_features,spotify:track:04JL2liXXV9B9coeGuUsPw,0.42
6,0.0254,https://api.spotify.com/v1/audio-analysis/31MkGwj0SWgZaTvEt5Hgxv,0.386,271520,0.594,31MkGwj0SWgZaTvEt5Hgxv,3.03e-06,1,0.0873,-6.186,1,0.0565,113.843,4,https://api.spotify.com/v1/tracks/31MkGwj0SWgZaTvEt5Hgxv,audio_features,spotify:track:31MkGwj0SWgZaTvEt5Hgxv,0.19
7,0.0824,https://api.spotify.com/v1/audio-analysis/6niSPaYFLIOKiT2tKEw7W4,0.621,238743,0.678,6niSPaYFLIOKiT2tKEw7W4,0.000101,0,0.227,-7.887,0,0.0329,125.979,4,https://api.spotify.com/v1/tracks/6niSPaYFLIOKiT2tKEw7W4,audio_features,spotify:track:6niSPaYFLIOKiT2tKEw7W4,0.306
8,0.00274,https://api.spotify.com/v1/audio-analysis/6tF92PMv01Ug9Dh8Rmy6nH,0.756,209333,0.682,6tF92PMv01Ug9Dh8Rmy6nH,8.85e-06,9,0.147,-6.577,0,0.0753,116.008,4,https://api.spotify.com/v1/tracks/6tF92PMv01Ug9Dh8Rmy6nH,audio_features,spotify:track:6tF92PMv01Ug9Dh8Rmy6nH,0.589
9,9.78e-05,https://api.spotify.com/v1/audio-analysis/66KjxbYrSBdnxJcHjnLM7o,0.573,331653,0.918,66KjxbYrSBdnxJcHjnLM7o,3.49e-06,4,0.129,-3.453,1,0.0662,129.046,4,https://api.spotify.com/v1/tracks/66KjxbYrSBdnxJcHjnLM7o,audio_features,spotify:track:66KjxbYrSBdnxJcHjnLM7o,0.831
10,0.189,https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi,0.849,198237,0.581,32DGGj6KlNuBr6WaqRxpxi,3.61e-06,1,0.0805,-5.243,0,0.0767,110.008,4,https://api.spotify.com/v1/tracks/32DGGj6KlNuBr6WaqRxpxi,audio_features,spotify:track:32DGGj6KlNuBr6WaqRxpxi,0.779
11,0.00458,https://api.spotify.com/v1/audio-analysis/0AMMb3KTWIUenr2J6bET2j,0.648,190448,0.942,0AMMb3KTWIUenr2J6bET2j,0.12,1,0.305,-2.653,0,0.0556,110.009,4,https://api.spotify.com/v1/tracks/0AMMb3KTWIUenr2J6bET2j,audio_features,spotify:track:0AMMb3KTWIUenr2J6bET2j,0.655
12,0.0178,https://api.spotify.com/v1/audio-analysis/6bMTgYkdyyZ8ZPA8FSZSkb,0.794,183227,0.893,6bMTgYkdyyZ8ZPA8FSZSkb,0.00167,2,0.0436,-4.903,1,0.0585,108.003,4,https://api.spotify.com/v1/tracks/6bMTgYkdyyZ8ZPA8FSZSkb,audio_features,spotify:track:6bMTgYkdyyZ8ZPA8FSZSkb,0.52
13,0.0683,https://api.spotify.com/v1/audio-analysis/4AW9Fobw3ENnOFDKwKdq7Q,0.639,186200,0.749,4AW9Fobw3ENnOFDKwKdq7Q,0.0,0,0.0272,-4.916,1,0.182,176.011,4,https://api.spotify.com/v1/tracks/4AW9Fobw3ENnOFDKwKdq7Q,audio_features,spotify:track:4AW9Fobw3ENnOFDKwKdq7Q,0.736
14,0.652,https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV,0.698,201000,0.375,1mXVgsBdtIVeCLJnSnmtdV,0.0,5,0.173,-8.279,1,0.0491,91.92,4,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,audio_features,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,0.534
15,0.347,https://api.spotify.com/v1/audio-analysis/3Xsb5v8UfshcEBjmNV8rqO,0.703,269001,0.73,3Xsb5v8UfshcEBjmNV8rqO,0.0034,5,0.0988,-7.965,0,0.0529,100.003,4,https://api.spotify.com/v1/tracks/3Xsb5v8UfshcEBjmNV8rqO,audio_features,spotify:track:3Xsb5v8UfshcEBjmNV8rqO,0.671
16,0.0393,https://api.spotify.com/v1/audio-analysis/5AEtlRudpgdT5FtNiuly6Y,0.659,174800,0.717,5AEtlRudpgdT5FtNiuly6Y,0.0,8,0.0769,-4.202,1,0.0581,103.036,4,https://api.spotify.com/v1/tracks/5AEtlRudpgdT5FtNiuly6Y,audio_features,spotify:track:5AEtlRudpgdT5FtNiuly6Y,0.71
17,0.272,https://api.spotify.com/v1/audio-analysis/69Naniu2KjKjaQOBUagE8U,0.541,214255,0.557,69Naniu2KjKjaQOBUagE8U,0.0,0,0.156,-5.094,0,0.173,106.122,4,https://api.spotify.com/v1/tracks/69Naniu2KjKjaQOBUagE8U,audio_features,spotify:track:69Naniu2KjKjaQOBUagE8U,0.173
18,0.0264,https://api.spotify.com/v1/audio-analysis/743mWMRgafToEUJriLLgkg,0.695,203760,0.632,743mWMRgafToEUJriLLgkg,0.0,11,0.252,-6.922,0,0.261,143.794,4,https://api.spotify.com/v1/tracks/743mWMRgafToEUJriLLgkg,audio_features,spotify:track:743mWMRgafToEUJriLLgkg,0.87
19,0.105,https://api.spotify.com/v1/audio-analysis/74ODGXs4byLTRdnKGM4s6E,0.754,203650,0.458,74ODGXs4byLTRdnKGM4s6E,0.0,8,0.249,-6.852,1,0.144,96.011,4,https://api.spotify.com/v1/tracks/74ODGXs4byLTRdnKGM4s6E,audio_features,spotify:track:74ODGXs4byLTRdnKGM4s6E,0.484
20,0.245,https://api.spotify.com/v1/audio-analysis/2xmrfQpmS2iJExTlklLoAL,0.638,205748,0.658,2xmrfQpmS2iJExTlklLoAL,3.77e-06,3,0.0919,-6.318,1,0.0456,105.076,4,https://api.spotify.com/v1/tracks/2xmrfQpmS2iJExTlklLoAL,audio_features,spotify:track:2xmrfQpmS2iJExTlklLoAL,0.33
21,0.246,https://api.spotify.com/v1/audio-analysis/6EpRaXYhGOB3fj4V2uDkMJ,0.869,204502,0.485,6EpRaXYhGOB3fj4V2uDkMJ,0.0,6,0.0765,-5.595,1,0.0545,106.028,4,https://api.spotify.com/v1/tracks/6EpRaXYhGOB3fj4V2uDkMJ,audio_features,spotify:track:6EpRaXYhGOB3fj4V2uDkMJ,0.542
22,0.0452,https://api.spotify.com/v1/audio-analysis/5EXJyRqlfZX7hXwUsbb9YQ,0.725,218220,0.867,5EXJyRqlfZX7hXwUsbb9YQ,0.037,10,0.0719,-4.018,0,0.0798,95.555,4,https://api.spotify.com/v1/tracks/5EXJyRqlfZX7hXwUsbb9YQ,audio_features,spotify:track:5EXJyRqlfZX7hXwUsbb9YQ,0.972
23,0.428,https://api.spotify.com/v1/audio-analysis/2xWF32YS2T8PRacHdYtAlB,0.632,290680,0.861,2xWF32YS2T8PRacHdYtAlB,0.0,9,0.108,-3.799,0,0.0371,97.013,4,https://api.spotify.com/v1/tracks/2xWF32YS2T8PRacHdYtAlB,audio_features,spotify:track:2xWF32YS2T8PRacHdYtAlB,0.537
24,0.171,https://api.spotify.com/v1/audio-analysis/40cPkRjw5aLQIOjaqgUVnB,0.526,306985,0.758,40cPkRjw5aLQIOjaqgUVnB,0.0,8,0.304,-3.732,1,0.0256,97.954,4,https://api.spotify.com/v1/tracks/40cPkRjw5aLQIOjaqgUVnB,audio_features,spotify:track:40cPkRjw5aLQIOjaqgUVnB,0.482
25,0.022,https://api.spotify.com/v1/audio-analysis/4GuaN5aBRpCy2AV7SDoaA3,0.51,296031,0.803,4GuaN5aBRpCy2AV7SDoaA3,0.0,4,0.648,-4.702,0,0.133,172.228,4,https://api.spotify.com/v1/tracks/4GuaN5aBRpCy2AV7SDoaA3,audio_features,spotify:track:4GuaN5aBRpCy2AV7SDoaA3,0.602
26,0.381,https://api.spotify.com/v1/audio-analysis/4v094LQ9eF10k2O2Te2ngK,0.519,223044,0.554,4v094LQ9eF10k2O2Te2ngK,0.0,0,0.115,-6.412,1,0.0385,153.676,4,https://api.spotify.com/v1/tracks/4v094LQ9eF10k2O2Te2ngK,audio_features,spotify:track:4v094LQ9eF10k2O2Te2ngK,0.194
27,0.101,https://api.spotify.com/v1/audio-analysis/1j4kHkkpqZRBwE0A4CN4Yv,0.258,239000,0.437,1j4kHkkpqZRBwE0A4CN4Yv,1.27e-06,11,0.106,-6.593,0,0.039,180.043,4,https://api.spotify.com/v1/tracks/1j4kHkkpqZRBwE0A4CN4Yv,audio_features,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,0.0967
28,0.163,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.599,263400,0.448,0tgVpDi06FyKpA1z0VMD4v,0.0,8,0.106,-6.312,1,0.0232,95.05,3,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.168
