,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.186,https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb,0.768,216897,0.517,0ofbQMrRDsUaVKq2mGLEAb,3.8e-05,7,0.104,-4.323,0,0.0312,104.992,4,https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb,audio_features,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,0.408
1,0.0406,https://api.spotify.com/v1/audio-analysis/7FESgYLcOufHqKlwrvJN60,0.78,163251,0.798,7FESgYLcOufHqKlwrvJN60,6.31e-05,1,0.0733,-5.151,0,0.0613,78.969,4,https://api.spotify.com/v1/tracks/7FESgYLcOufHqKlwrvJN60,audio_features,spotify:track:7FESgYLcOufHqKlwrvJN60,0.771
2,0.101,https://api.spotify.com/v1/audio-analysis/1j4kHkkpqZRBwE0A4CN4Yv,0.258,239000,0.437,1j4kHkkpqZRBwE0A4CN4Yv,1.27e-06,11,0.106,-6.593,0,0.039,180.043,4,https://api.spotify.com/v1/tracks/1j4kHkkpqZRBwE0A4CN4Yv,audio_features,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,0.0967
3,0.034,https://api.spotify.com/v1/audio-analysis/3PEgB3fkiojxms35ntsTgs,0.644,203000,0.743,3PEgB3fkiojxms35ntsTgs,0.0,5,0.257,-5.002,0,0.0355,123.074,4,https://api.spotify.com/v1/tracks/3PEgB3fkiojxms35ntsTgs,audio_features,spotify:track:3PEgB3fkiojxms35ntsTgs,0.532
4,0.139,https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC,0.715,197993,0.802,7EmGUiUaOSGDnUUQUDrOXC,0.0,11,0.177,-4.647,0,0.0394,124.989,4,https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC,audio_features,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,0.327
5,0.13,https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx,0.577,218320,0.522,7wGoVu4Dady5GV0Sv4UIsx,9.03e-05,5,0.142,-6.594,0,0.0984,159.772,4,https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx,audio_features,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,0.119
6,0.146,https://api.spotify.com/v1/audio-analysis/2OALaHcDdKkjYEpAr0Qzab,0.647,181812,0.669,2OALaHcDdKkjYEpAr0Qzab,2.14e-05,5,0.0805,-5.292,1,0.0594,103.099,4,https://api.spotify.com/v1/tracks/2OALaHcDdKkjYEpAr0Qzab,audio_features,spotify:track:2OALaHcDdKkjYEpAr0Qzab,0.247
7,0.00274,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,0.756,209333,0.682,2ekn2ttSfGqwhhate0LSR0,8.85e-06,9,0.147,-6.577,0,0.0753,116.008,4,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,audio_features,spotify:track:2ekn2ttSfGqwhhate0LSR0,0.589
8,8.76e-05,https://api.spotify.com/v1/audio-analysis/5KWxtm24eahVFAU4Acd5er,0.648,192041,0.832,5KWxtm24eahVFAU4Acd5er,5.18e-05,6,0.645,-6.343,0,0.0795,114.961,4,https://api.spotify.com/v1/tracks/5KWxtm24eahVFAU4Acd5er,audio_features,spotify:track:5KWxtm24eahVFAU4Acd5er,0.385
9,0.163,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.599,263400,0.448,0tgVpDi06FyKpA1z0VMD4v,0.0,8,0.106,-6.312,1,0.0232,95.05,3,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.168
10,0.0323,https://api.spotify.com/v1/audio-analysis/3HVr6jTVwBHBa2flM0eURR,0.731,220454,0.794,3HVr6jTVwBHBa2flM0eURR,2.59e-05,0,0.112,-5.126,0,0.0522,139.994,4,https://api.spotify.com/v1/tracks/3HVr6jTVwBHBa2flM0eURR,audio_features,spotify:track:3HVr6jTVwBHBa2flM0eURR,0.35
11,0.0767,https://api.spotify.com/v1/audio-analysis/4mxWSdf71VFO52qFeY0fZt,0.795,199849,0.608,4mxWSdf71VFO52qFeY0fZt,2.92e-06,5,0.0853,-5.222,0,0.0694,110.001,4,https://api.spotify.com/v1/tracks/4mxWSdf71VFO52qFeY0fZt,audio_features,spotify:track:4mxWSdf71VFO52qFeY0fZt,0.386
12,0.0261,https://api.spotify.com/v1/audio-analysis/2NF8A7C6tICScdRaZ0BrEe,0.837,151011,0.793,2NF8A7C6tICScdRaZ0BrEe,9.04e-05,11,0.0743,-5.048,0,0.0567,124.988,4,https://api.spotify.com/v1/tracks/2NF8A7C6tICScdRaZ0BrEe,audio_features,spotify:track:2NF8A7C6tICScdRaZ0BrEe,0.872
13,0.485,https://api.spotify.com/v1/audio-analysis/7hRsWeey4zosKz2ris2cHI,0.719,195882,0.616,7hRsWeey4zosKz2ris2cHI,0.0,3,0.0643,-7.364,0,0.0516,135.949,4,https://api.spotify.com/v1/tracks/7hRsWeey4zosKz2ris2cHI,audio_features,spotify:track:7hRsWeey4zosKz2ris2cHI,0.827
14,0.256,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,0.52,180823,0.761,7vGuf3Y35N4wmASOKLUVVU,4.96e-06,4,0.17,-3.093,1,0.0853,141.971,4,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,audio_features,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.266
