,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.262,https://api.spotify.com/v1/audio-analysis/4N3Ue0WvgvVvMhdScsItXc,0.671,265558,0.742,4N3Ue0WvgvVvMhdScsItXc,0.682,0,0.103,-8.385,1,0.0328,104.967,4,https://api.spotify.com/v1/tracks/4N3Ue0WvgvVvMhdScsItXc,audio_features,spotify:track:4N3Ue0WvgvVvMhdScsItXc,0.787
1,0.0375,https://api.spotify.com/v1/audio-analysis/7xDw5bvPPdJCcSZCkXw6fu,0.766,232760,0.598,7xDw5bvPPdJCcSZCkXw6fu,0.689,5,0.0863,-7.327,0,0.0332,95.261,4,https://api.spotify.com/v1/tracks/7xDw5bvPPdJCcSZCkXw6fu,audio_features,spotify:track:7xDw5bvPPdJCcSZCkXw6fu,0.502
2,0.0374,https://api.spotify.com/v1/audio-analysis/6kvaJDR7tUS9RQgtWY7nfm,0.615,220173,0.645,6kvaJDR7tUS9RQgtWY7nfm,0.406,7,0.0494,-6.893,1,0.0576,101.95,4,https://api.spotify.com/v1/tracks/6kvaJDR7tUS9RQgtWY7nfm,audio_features,spotify:track:6kvaJDR7tUS9RQgtWY7nfm,0.769
3,0.44,https://api.spotify.com/v1/audio-analysis/63SZUUY3IcCp1q7l5ix1IW,0.709,269747,0.558,63SZUUY3IcCp1q7l5ix1IW,1.41e-05,2,0.165,-8.54,1,0.0362,79.98,4,https://api.spotify.com/v1/tracks/63SZUUY3IcCp1q7l5ix1IW,audio_features,spotify:track:63SZUUY3IcCp1q7l5ix1IW,0.587
4,0.415,https://api.spotify.com/v1/audio-analysis/6ttsH99vfvkAPF3s1tIPqB,0.503,410227,0.417,6ttsH99vfvkAPF3s1tIPqB,0.00646,4,0.714,-11.806,0,0.0327,106.386,4,https://api.spotify.com/v1/tracks/6ttsH99vfvkAPF3s1tIPqB,audio_features,spotify:track:6ttsH99vfvkAPF3s1tIPqB,0.152
5,0.363,https://api.spotify.com/v1/audio-analysis/0lPWEt7kSY37pSUIH68ME0,0.664,303773,0.725,0lPWEt7kSY37pSUIH68ME0,1.39e-06,9,0.272,-6.179,0,0.0897,96.348,4,https://api.spotify.com/v1/tracks/0lPWEt7kSY37pSUIH68ME0,audio_features,spotify:track:0lPWEt7kSY37pSUIH68ME0,0.651
6,0.199,https://api.spotify.com/v1/audio-analysis/775Q8diCxEWZAoPiutwiC8,0.828,297400,0.538,775Q8diCxEWZAoPiutwiC8,0.108,5,0.0782,-9.237,0,0.0526,120.082,4,https://api.spotify.com/v1/tracks/775Q8diCxEWZAoPiutwiC8,audio_features,spotify:track:775Q8diCxEWZAoPiutwiC8,0.637
7,0.0825,https://api.spotify.com/v1/audio-analysis/11JMyjBsyVmuTdGe3PJ87V,0.851,252467,0.39,11JMyjBsyVmuTdGe3PJ87V,0.000443,9,0.0777,-9.586,0,0.0504,118.006,4,https://api.spotify.com/v1/tracks/11JMyjBsyVmuTdGe3PJ87V,audio_features,spotify:track:11JMyjBsyVmuTdGe3PJ87V,0.636
8,0.829,https://api.spotify.com/v1/audio-analysis/1wb7rKI0B6Bjgfvoscu32w,0.513,230827,0.0585,1wb7rKI0B6Bjgfvoscu32w,1.03e-05,5,0.108,-17.673,0,0.0459,184.909,4,https://api.spotify.com/v1/tracks/1wb7rKI0B6Bjgfvoscu32w,audio_features,spotify:track:1wb7rKI0B6Bjgfvoscu32w,0.389
9,0.22,https://api.spotify.com/v1/audio-analysis/3CqNz9xlBGseBOMDbWrbQM,0.574,242355,0.555,3CqNz9xlBGseBOMDbWrbQM,0.0,0,0.316,-9.116,0,0.125,102.88,4,https://api.spotify.com/v1/tracks/3CqNz9xlBGseBOMDbWrbQM,audio_features,spotify:track:3CqNz9xlBGseBOMDbWrbQM,0.222
10,0.0507,https://api.spotify.com/v1/audio-analysis/3GjF8PNprVtiBtQnSgcHFU,0.88,259694,0.694,3GjF8PNprVtiBtQnSgcHFU,0.675,6,0.366,-5.733,1,0.108,122.025,4,https://api.spotify.com/v1/tracks/3GjF8PNprVtiBtQnSgcHFU,audio_features,spotify:track:3GjF8PNprVtiBtQnSgcHFU,0.516
11,0.163,https://api.spotify.com/v1/audio-analysis/3peGEZoJdjOIpIoZzIeKmJ,0.628,293893,0.759,3peGEZoJdjOIpIoZzIeKmJ,0.272,4,0.105,-7.212,0,0.0371,99.164,4,https://api.spotify.com/v1/tracks/3peGEZoJdjOIpIoZzIeKmJ,audio_features,spotify:track:3peGEZoJdjOIpIoZzIeKmJ,0.831
