,MicroComputador,Tablet,Telfone,Tv,Outro,RendaPerCapita
0,,,,,,4.0
1,,,,,,
2,2.0,4.0,,4.0,4.0,4.0
3,2.0,4.0,,4.0,4.0,4.0
4,,,,,,6.0
5,2.0,4.0,,4.0,4.0,5.0
6,,,,,,2.0
7,,,,,,4.0
8,2.0,4.0,,4.0,4.0,4.0
9,,,,,,
10,2.0,4.0,,4.0,4.0,5.0
11,2.0,4.0,,4.0,4.0,6.0
12,,,,,,
13,2.0,4.0,,4.0,4.0,4.0
14,,,,,,
15,2.0,4.0,,4.0,4.0,3.0
16,,,,,,3.0
17,,2.0,,4.0,4.0,3.0
18,2.0,4.0,,4.0,4.0,4.0
19,2.0,4.0,,4.0,4.0,3.0
20,2.0,4.0,,4.0,4.0,4.0
21,4.0,,,,,4.0
22,,,,,,
23,,4.0,,4.0,4.0,6.0
24,,,,,,
25,,,,,,
26,,,,,,3.0
27,2.0,4.0,,4.0,4.0,6.0
28,2.0,4.0,,4.0,4.0,6.0
29,2.0,4.0,,4.0,4.0,4.0
30,,,,,,5.0
31,2.0,2.0,,4.0,4.0,6.0
32,2.0,4.0,,4.0,4.0,2.0
33,2.0,4.0,,4.0,4.0,1.0
34,,,,,,
35,4.0,,,,,2.0
36,4.0,,,,,1.0
37,2.0,4.0,,4.0,4.0,3.0
38,,,,,,99.0
39,2.0,2.0,,4.0,4.0,1.0
40,,,,,,3.0
41,,,,,,2.0
42,2.0,4.0,,4.0,4.0,4.0
43,2.0,4.0,,4.0,4.0,4.0
44,2.0,4.0,,4.0,4.0,5.0
45,2.0,4.0,,4.0,4.0,3.0
46,,,,,,4.0
47,,,,,,3.0
48,4.0,,,,,3.0
49,,,,,,3.0
50,2.0,4.0,,4.0,4.0,3.0
51,,,,,,6.0
52,4.0,,,,,4.0
53,,,,,,4.0
54,,4.0,,4.0,4.0,5.0
55,,,,,,3.0
56,,,,,,
57,,,,,,
58,,,,,,4.0
59,,,,,,
60,,,,,,2.0
61,,,,,,2.0
62,,,,,,4.0
63,,,,,,2.0
64,,,,,,2.0
65,,,,,,2.0
66,,4.0,,4.0,4.0,3.0
67,4.0,,,,,3.0
68,,,,,,2.0
69,,,,,,
70,,,,,,2.0
71,,4.0,,4.0,4.0,3.0
72,4.0,4.0,,4.0,4.0,3.0
73,,4.0,,4.0,4.0,6.0
74,2.0,4.0,,4.0,4.0,3.0
75,,,,,,4.0
76,,4.0,,4.0,4.0,4.0
77,,4.0,,4.0,4.0,4.0
78,,4.0,,4.0,4.0,3.0
79,2.0,4.0,,4.0,4.0,5.0
80,2.0,4.0,,4.0,4.0,6.0
81,,,,,,
82,,,,,,4.0
83,,,,,,4.0
84,,,,,,
85,,4.0,,4.0,4.0,3.0
86,,,,,,3.0
87,2.0,4.0,,4.0,4.0,1.0
88,,,,,,4.0
89,,,,,,3.0
90,,,,,,3.0
91,,,,,,3.0
92,,,,,,2.0
93,2.0,4.0,,4.0,4.0,3.0
94,,4.0,,4.0,4.0,4.0
95,,,,,,3.0
96,,4.0,,4.0,4.0,3.0
97,,4.0,,4.0,4.0,2.0
98,,,,,,
99,,,,,,0.0
100,,,,,,
101,,,,,,
102,,4.0,,4.0,4.0,3.0
103,,,,,,
104,,,,,,
105,,4.0,,4.0,4.0,3.0
106,,,,,,
107,,,,,,3.0
108,,,,,,2.0
109,,,,,,3.0
110,,4.0,,4.0,4.0,2.0
111,,4.0,,4.0,4.0,2.0
112,4.0,4.0,,4.0,4.0,4.0
113,,4.0,,4.0,4.0,5.0
114,4.0,,,,,4.0
115,,,,,,3.0
116,2.0,4.0,,4.0,4.0,4.0
117,,4.0,,4.0,4.0,2.0
118,,,,,,2.0
119,,4.0,,4.0,4.0,1.0
120,,4.0,,4.0,4.0,3.0
121,,,,,,4.0
122,,,,,,
123,,,,,,
124,4.0,4.0,,4.0,4.0,3.0
125,,,,,,
126,,,,,,3.0
127,,,,,,2.0
128,,,,,,1.0
129,,,,,,3.0
130,,,,,,3.0
131,,,,,,4.0
132,,4.0,,4.0,4.0,4.0
133,,,,,,
134,,4.0,,4.0,4.0,2.0
135,,,,,,5.0
136,,,,,,
137,,,,,,
138,,,,,,
139,2.0,4.0,,4.0,4.0,3.0
